image,suspected_duplicate,duplicate_type,similarity_score,recommended_action
Healthy\Image_001.jpg,Healthy\Image_002.jpg,exact,0,remove (keep anchor)
Healthy\Image_001.jpg,Healthy\Image_SetA001.jpg,exact,0,remove (keep anchor)
Healthy\Image_001.jpg,Healthy\Image_SetA002.jpg,exact,0,remove (keep anchor)
Healthy\Image_001.jpg,Healthy\Image_SetB001.jpg,exact,0,remove (keep anchor)
Healthy\Image_001.jpg,Healthy\Image_SetB002.jpg,exact,0,remove (keep anchor)
Healthy\Image_003.jpg,Healthy\Image_004.jpg,exact,0,remove (keep anchor)
Healthy\Image_003.jpg,Healthy\Image_SetA003.jpg,exact,0,remove (keep anchor)
Healthy\Image_003.jpg,Healthy\Image_SetA004.jpg,exact,0,remove (keep anchor)
Healthy\Image_003.jpg,Healthy\Image_SetB003.jpg,exact,0,remove (keep anchor)
Healthy\Image_003.jpg,Healthy\Image_SetB004.jpg,exact,0,remove (keep anchor)
Healthy\Image_005.jpg,Healthy\Image_006.jpg,exact,0,remove (keep anchor)
Healthy\Image_005.jpg,Healthy\Image_SetA005.jpg,exact,0,remove (keep anchor)
Healthy\Image_005.jpg,Healthy\Image_SetA006.jpg,exact,0,remove (keep anchor)
Healthy\Image_005.jpg,Healthy\Image_SetB005.jpg,exact,0,remove (keep anchor)
Healthy\Image_005.jpg,Healthy\Image_SetB006.jpg,exact,0,remove (keep anchor)
Healthy\Image_007.jpg,Healthy\Image_008.jpg,exact,0,remove (keep anchor)
Healthy\Image_007.jpg,Healthy\Image_SetA007.jpg,exact,0,remove (keep anchor)
Healthy\Image_007.jpg,Healthy\Image_SetA008.jpg,exact,0,remove (keep anchor)
Healthy\Image_007.jpg,Healthy\Image_SetB007.jpg,exact,0,remove (keep anchor)
Healthy\Image_007.jpg,Healthy\Image_SetB008.jpg,exact,0,remove (keep anchor)
Healthy\Image_009.jpg,Healthy\Image_010.jpg,exact,0,remove (keep anchor)
Healthy\Image_009.jpg,Healthy\Image_SetA009.jpg,exact,0,remove (keep anchor)
Healthy\Image_009.jpg,Healthy\Image_SetA010.jpg,exact,0,remove (keep anchor)
Healthy\Image_009.jpg,Healthy\Image_SetB009.jpg,exact,0,remove (keep anchor)
Healthy\Image_009.jpg,Healthy\Image_SetB010.jpg,exact,0,remove (keep anchor)
Healthy\Image_011.jpg,Healthy\Image_012.jpg,exact,0,remove (keep anchor)
Healthy\Image_011.jpg,Healthy\Image_SetA011.jpg,exact,0,remove (keep anchor)
Healthy\Image_011.jpg,Healthy\Image_SetA012.jpg,exact,0,remove (keep anchor)
Healthy\Image_011.jpg,Healthy\Image_SetB011.jpg,exact,0,remove (keep anchor)
Healthy\Image_011.jpg,Healthy\Image_SetB012.jpg,exact,0,remove (keep anchor)
Healthy\Image_013.jpg,Healthy\Image_014.jpg,exact,0,remove (keep anchor)
Healthy\Image_013.jpg,Healthy\Image_SetA013.jpg,exact,0,remove (keep anchor)
Healthy\Image_013.jpg,Healthy\Image_SetA014.jpg,exact,0,remove (keep anchor)
Healthy\Image_013.jpg,Healthy\Image_SetB013.jpg,exact,0,remove (keep anchor)
Healthy\Image_013.jpg,Healthy\Image_SetB014.jpg,exact,0,remove (keep anchor)
Healthy\Image_015.jpg,Healthy\Image_016.jpg,exact,0,remove (keep anchor)
Healthy\Image_015.jpg,Healthy\Image_SetA015.jpg,exact,0,remove (keep anchor)
Healthy\Image_015.jpg,Healthy\Image_SetA016.jpg,exact,0,remove (keep anchor)
Healthy\Image_015.jpg,Healthy\Image_SetB015.jpg,exact,0,remove (keep anchor)
Healthy\Image_015.jpg,Healthy\Image_SetB016.jpg,exact,0,remove (keep anchor)
Healthy\Image_017.jpg,Healthy\Image_018.jpg,exact,0,remove (keep anchor)
Healthy\Image_017.jpg,Healthy\Image_SetA017.jpg,exact,0,remove (keep anchor)
Healthy\Image_017.jpg,Healthy\Image_SetA018.jpg,exact,0,remove (keep anchor)
Healthy\Image_017.jpg,Healthy\Image_SetB017.jpg,exact,0,remove (keep anchor)
Healthy\Image_017.jpg,Healthy\Image_SetB018.jpg,exact,0,remove (keep anchor)
Healthy\Image_019.jpg,Healthy\Image_020.jpg,exact,0,remove (keep anchor)
Healthy\Image_019.jpg,Healthy\Image_SetA019.jpg,exact,0,remove (keep anchor)
Healthy\Image_019.jpg,Healthy\Image_SetA020.jpg,exact,0,remove (keep anchor)
Healthy\Image_019.jpg,Healthy\Image_SetB019.jpg,exact,0,remove (keep anchor)
Healthy\Image_019.jpg,Healthy\Image_SetB020.jpg,exact,0,remove (keep anchor)
Healthy\Image_021.jpg,Healthy\Image_022.jpg,exact,0,remove (keep anchor)
Healthy\Image_021.jpg,Healthy\Image_SetA021.jpg,exact,0,remove (keep anchor)
Healthy\Image_021.jpg,Healthy\Image_SetA022.jpg,exact,0,remove (keep anchor)
Healthy\Image_021.jpg,Healthy\Image_SetB021.jpg,exact,0,remove (keep anchor)
Healthy\Image_021.jpg,Healthy\Image_SetB022.jpg,exact,0,remove (keep anchor)
Healthy\Image_023.jpg,Healthy\Image_024.jpg,exact,0,remove (keep anchor)
Healthy\Image_023.jpg,Healthy\Image_SetA023.jpg,exact,0,remove (keep anchor)
Healthy\Image_023.jpg,Healthy\Image_SetA024.jpg,exact,0,remove (keep anchor)
Healthy\Image_023.jpg,Healthy\Image_SetB023.jpg,exact,0,remove (keep anchor)
Healthy\Image_023.jpg,Healthy\Image_SetB024.jpg,exact,0,remove (keep anchor)
Healthy\Image_025.jpg,Healthy\Image_026.jpg,exact,0,remove (keep anchor)
Healthy\Image_025.jpg,Healthy\Image_SetA025.jpg,exact,0,remove (keep anchor)
Healthy\Image_025.jpg,Healthy\Image_SetA026.jpg,exact,0,remove (keep anchor)
Healthy\Image_025.jpg,Healthy\Image_SetB025.jpg,exact,0,remove (keep anchor)
Healthy\Image_025.jpg,Healthy\Image_SetB026.jpg,exact,0,remove (keep anchor)
Healthy\Image_027.jpg,Healthy\Image_028.jpg,exact,0,remove (keep anchor)
Healthy\Image_027.jpg,Healthy\Image_SetA027.jpg,exact,0,remove (keep anchor)
Healthy\Image_027.jpg,Healthy\Image_SetA028.jpg,exact,0,remove (keep anchor)
Healthy\Image_027.jpg,Healthy\Image_SetB027.jpg,exact,0,remove (keep anchor)
Healthy\Image_027.jpg,Healthy\Image_SetB028.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_030.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetA029.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetA030.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetB029.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetB030.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_032.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetA031.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetA032.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetB031.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetB032.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_034.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetA033.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetA034.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetB033.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetB034.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_036.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetA035.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetA036.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetB035.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetB036.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_038.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetA037.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetA038.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetB037.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetB038.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_040.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetA039.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetA040.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetB039.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetB040.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_042.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetA041.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetA042.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetB041.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetB042.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_044.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetA043.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetA044.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetB043.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetB044.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_046.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetA045.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetA046.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetB045.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetB046.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_048.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetA047.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetA048.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetB047.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetB048.jpg,exact,0,remove (keep anchor)
